"","genre","freqRecord","freqDataSource"
"206","Chapter",108329,119
"207","doc-type:workingPaper",107964,19
"208","czasopisma",106994,10
"209","Article: post-print",106555,1
"210","journal-article",106406,2
"211","A",106212,12
"212","会议论文",104027,55
"213","Articulo",103911,29
"214","Thesis (Ph.D.)",103424,3
"215","Portraits",103087,22
"216","紀要論文",102837,24
"217","Governing body documents",101773,1
"218","論文(Article)",101694,24
"219","amk",101607,1
"220","YH-examen",101606,1
"221","Bachelor's Degree",101604,1
"222","fotografia",100881,30
"223","Noticia",100229,8
"224","bakalářská práce",100149,7
"225","Diplomová práce",99737,5
"226","Plate",99615,2
"227","Article in monograph or in proceedings",99283,11
"228","Bakalářská práce",98312,5
"229","doctoralThesis",97521,133
"230","Materiale didattico / Presentazione",97111,1
"231","Books",96559,139
"232","Other publications",96419,107
"233","info:eu-repo/semantics/workingPaper",95981,104
"234","manuscript cartographic resource",95516,2
"235","document cartographique manuscrit",95516,2
"236","książka",95046,59
"237","Master's thesis",94799,33
"238","Imatge",94573,4
"239","dissertation",93495,47
"240","Resumo publicado em evento",93399,1
"241","Research article",92802,21
"242","notebiblio",91602,2
"243","DigitalisatDigital copy",91431,1
"244","Clippings<br>Text",90738,3
"245","type:math",89207,1
"246","PeriodicalVolume",88782,8
"247","Volume",87456,13
"248","Journal article          ",87321,1
"249","Picture",87280,8
"250","diplomová práce",87222,7
"251","Artículo científico",86649,12
"252","C",86084,16
"253","Artykuł",85656,9
"254","Thesis/Dissertation",85519,7
"255","review",85029,175
"256","InteractiveResource",84707,20
"257","Literature",84354,6
"258","Periodical",84264,61
"259","Documents",84179,20
"260","Book section",84117,99
"261","doc-type:doctoralThesis",83898,51
"262","Research",83455,46
"263","Specialized Mix",83172,1
"264","Proceedings paper",83122,2
"265","text:not_categorized",83119,1
"266","chapter",81938,16
"267","historicalDocument",81378,2
"268","elbeszélés(ek)",80649,1
"269","IMAGE",80240,5
"270","mixed material",79350,17
"271","cikk(ek)",78677,3
"272","Conference Item",78263,20
"273","Journal (Paginated)",77573,20
"274","application/pdf",77373,38
"275","Publisher's version",77238,5
"276","bookPart",76651,130
"277","info:eu-repo/semantics/contributionToPeriodical",76513,68
"278","Conference Proceeding",76452,24
"279","Contribution in Book/Report/Proceedings",76249,1
"280","monograph",75435,27
"281","doc-type:Text",75320,5
"282","Image;",75081,38
"283","Directions of work or proceedings",73653,104
"284","cartographic",73446,22
"285","folyóiratcikk",73385,3
"286","Academic journal article",73365,1
"287","Glass negatives.",73275,1
"288","Carte postale",73095,1
"289","Video",73044,579
"290","Material gráfico",73034,1
"291","conference proceeding",73034,6
"292","Materiale didattico",73020,7
"293","Bachelor's thesis",73001,4
"294","会議発表用資料;Presentation",72569,1
"295","学位论文",72321,60
"296","Tese de Doutorado",71968,4
"297","IC",71789,4
"298","JADA          ",70525,1
"299","Nacional",70246,2
"300","Documento Histórico",70134,3
"301","View",69916,1
"302","Article scientifique",69531,3
"303","Poster",69092,152
"304","Artículo de revista",68848,12
"305","doc-type:bookPart",68140,23
"306","CONFERANCE",66918,1
"307","image_photo",66914,2
"308","Envelope",66898,5
"309","musical notation",66807,2
"310","survey data",66726,4
"311","Original research",65672,11
"312","doc-type:book",65605,88
"313","staré tiskyczenas",65098,2
"314","Still Image;",65076,20
"315","proceeding with peer review",65043,5
"316","Konferenzbeitrag",64945,4
"317","group",64808,1
"318","person",63981,10
"319","series",63938,16
"320","Teaching Resource",63869,116
"321","texts",63751,4
"322","Princeton University Senior Theses",63244,1
"323","gazety",63154,2
"324","grafika",63094,21
"325","info:eu-repo/semantics/acceptedVersion",63012,65
"326","Poster communications",62707,95
"327","dataPackage",61784,1
"328","artykuÅ‚",61755,40
"329","Printed language material",61584,2
"330","Doctoral",61239,26
"331","grant",61055,1
"332","Рецензована стаття",60879,20
"333","Άρθρο που αξιολογήθηκε από ομότιμους αξιολογητές",60856,2
"334","könyv",60832,7
"335","Fileset",60539,1
"336","data",60521,10
"337","notated music",60336,17
"338","Article revisat per persones expertes",60076,7
"339","Zeitschriftenartikel",59687,6
"340","Master thesis (pre-Bologna period)",59416,4
"341","újságrészlet",59308,2
"342","Conference_Paper",58956,2
"343","Audiovisual",58942,9
"344","Military Atlas",58871,1
"345","Non-conventional",58532,1
"346","MPRA Paper",58343,1
"347","ajaleht          ",57994,1
"348","info:ar-repo/semantics/artículo",57488,14
"349","Imagen",55883,19
"350","Script",55549,14
"351","Proceeding",55338,17
"352","letter",55240,50
"353","Volume de périodique",55024,1
"354"," text",54846,5
"355","DataPackage",54333,1
"356","M2",54219,9
"357"," image",53683,4
"358","Review",53078,248
"359","Data or Dataset",52949,26
"360","CHECKLIST",52661,1
"361","Patent",52587,213
"362","texte imprimé",52482,3
"363","Nursing Museum Photograph",52011,1
"364","Learning Object",51425,281
"365","PhysicalObject",51406,24
"366","Pro gradu",51338,3
"367","Proceeing",51245,1
"368","book_chapter",51214,6
"369","National Atlas",51053,1
"370","Objeto de conferencia",51014,1
"371","ConferencePaper",50456,6
"372","Memorandum",50339,16
"373","postcard",50321,20
"374","Performance",49306,90
"375","Text Page",49099,1
"376","ei",49088,1
"377","scientific book chapter",48882,6
"378","Refereed Article",48617,6
"379","博士論文要旨集 Doctoral thesis abstracts",48555,1
"380","Journal/Magazine Article",48446,1
"381","moving image",48363,49
"382","Field Document",48282,1
"383","artículo",47145,20
"384","Student Papers",47142,1
"385","http://purl.org/eprint/type/JournalArticle",46541,4
"386","Статья",46162,8
"387","Documento",46125,14
"388","Buch",45758,15
"389","obituaries",45739,3
"390","Skripsi",45653,7
"391","Positivos",45444,1
"392","Press Release",44774,11
"393","Artikel undergået peer review",44532,3
"394","Artigo",44302,63
"395","Apresentação oral",44233,1
"396","Article in journal",44221,41
"397","##rt.metadata.pkp.peerReviewed##",43986,2
"398","Thesis (University of Nottingham only)",43888,3
"399","Software",43475,237
"400","életrajz(ok)",43290,2
"401","Research paper (M.A.), 4 hrs.",43246,1
"402","博士",43228,86
"403","reporting",43213,9
"404","Doctoral Thesis",43207,44
"405","photographs",42730,31
"406","Journal paper",42574,2
"407","Separate Map",42461,1
"408","AA",42289,2
"409","گزارش",42180,2
"410","Book, Whole",41782,5
"411","info:ulb-repo/semantics/doctoralThesis",41743,3
"412","info:ulb-repo/semantics/openurl/vlink-dissertation",41741,2
"413","Linguistic type: primary text",41609,1
"414","Meeting abstract",41093,11
"415","Musical Score",40996,73
"416","rękopis",40766,43
"417","1 photograph ;",40710,1
"418","Glass photonegatives",40710,1
"419","その他",40298,30
"420","Libro",40226,78
"421","Newsletter",40044,98
"422","ArchivalObject",39674,1
"423","Genre musical : divers",39470,2
"424","R – Report",39436,1
"425","0",39384,8
"426","original article",39339,8
"427","AT",39326,5
"428","doctoralthesis",39265,52
"429","Hochschulschrift",39242,15
